module_name	module_role	n_genes_input	n_genes_detected_union	detected_fraction_union	n_sections_detected	module_status	notes
R1_MAGMA_Bonferroni_only	primary_MAGMA_module	79	69	0.873417721518987	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	primary_MAGMA_module	93	83	0.89247311827957	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
MAGMA_top50	primary_MAGMA_module	50	44	0.88	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
MAGMA_top100	primary_MAGMA_module	100	90	0.9	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	secondary_TWAS_proxy_module	1	1	1	5	small_module_interpret_cautiously	TWAS-proxy module; supplementary only and never used for main spatial claims.
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	secondary_TWAS_proxy_module	13	13	1	5	supplementary_ready	TWAS-proxy module; supplementary only and never used for main spatial claims.
R2_R3_MAGMA_plus_TWAS_proxy	secondary_TWAS_proxy_module	14	14	1	5	supplementary_ready	TWAS-proxy module; supplementary only and never used for main spatial claims.
R5_TWAS_proxy_only	secondary_TWAS_proxy_module	4	1	0.25	5	not_score_feasible	TWAS-proxy module; supplementary only and never used for main spatial claims.
Curated_exemplar_panel	curated_exemplar_context	6	6	1	5	supplementary_ready	Curated context only; no single-gene validation.
LoopTAL_signature	spatial_context_signature	7	7	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
epithelial_general	spatial_context_signature	5	5	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
proximal_tubule	spatial_context_signature	6	6	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
collecting_duct	spatial_context_signature	6	6	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
injury_epithelial	injury_or_remodeling_signature	7	7	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
ECM_fibrosis	injury_or_remodeling_signature	7	7	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
mineralization_remodeling	injury_or_remodeling_signature	7	7	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
immune_myeloid	spatial_context_signature	7	7	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
endothelial	spatial_context_signature	6	6	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
fibroblast_stromal	spatial_context_signature	6	6	1	5	primary_ready	Current Stage 3R/Stage 5 definition; section consistency required for interpretation.
