sample_id	section_id	control_or_disease	metadata_confidence	n_spots_in_tissue	n_nonzero_Loop_TAL_score_spots	percent_nonzero_Loop_TAL_score_spots	median_Loop_TAL_score	mean_Loop_TAL_score	max_Loop_TAL_score	n_unique_Loop_TAL_score_values	top_quartile_threshold	n_spots_above_top_quartile_threshold	n_spots_equal_to_top_quartile_threshold	top_quartile_tie_fraction	continuous_score_usable	rank_top_quartile_usable	recommended_Loop_TAL_metric_for_step3	notes
GSM6250307	V10M09-035_XY04-F39	control	moderate	2438	0	0	0	0	0	1	0	0	2438	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM6250308	V19S25-020_XY02-KRP428_slide2	stone_disease	high	817	0	0	0	0	0	1	0	0	817	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM6250309	V10M09-035_XY03-KRP449-440	stone_disease	high	939	0	0	0	0	0	1	0	0	939	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM6250310	V10M09-035_XY02-KRP429-478	stone_disease	high	1085	0	0	0	0	0	1	0	0	1085	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	stone_disease	moderate	656	0	0	0	0	0	1	0	0	656	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	stone_disease	moderate	262	0	0	0	0	0	1	0	0	262	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	stone_disease	moderate	299	0	0	0	0	0	1	0	0	299	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	stone_disease	moderate	1386	0	0	0	0	0	1	0	0	1386	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	stone_disease	moderate	1376	0	0	0	0	0	1	0	0	1376	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	stone_disease	high	2468	0	0	0	0	0	1	0	0	2468	1	FALSE	FALSE	not_usable_for_claim_grade_correlation	Top-quartile threshold is zero and highly tie-sensitive; use continuous scores, nonzero indicator, or rank only as descriptive support.
