signature_name	n_paired_patients	n_samples_used	model_formula	group_coefficient	standard_error	t_statistic	p_value	fdr_bh_across_signatures	direction	interpretation	notes
injury_KIM1_LCN2_like	26	52	signature_score ~ group_binary + factor(patient_id)	0.375389130949201	0.124217668897277	3.02202685239273	0.0057265736041287	0.057265736041287	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
inflammatory_stress	26	52	signature_score ~ group_binary + factor(patient_id)	0.154358690265896	0.121816270009552	1.26714346329757	0.216781326326323	0.361302210543872	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
epithelial_transport	26	52	signature_score ~ group_binary + factor(patient_id)	0.347715474587683	0.152864228422978	2.27466869243959	0.0317657576962656	0.105885858987552	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
Loop_TAL_transport_proxy	26	52	signature_score ~ group_binary + factor(patient_id)	-0.0585571722349354	0.178805773813146	-0.327490387956534	0.746023653558647	0.746023653558647	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
collecting_duct_proxy	26	52	signature_score ~ group_binary + factor(patient_id)	0.150607517342564	0.136561043632528	1.1028585703243	0.280592313285938	0.400846161837054	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
fibroblast_stromal_ECM	26	52	signature_score ~ group_binary + factor(patient_id)	0.176965615050732	0.185812596929947	0.952387609745582	0.350018475312641	0.437523094140801	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
fibrosis_remodeling	26	52	signature_score ~ group_binary + factor(patient_id)	0.135487785191698	0.163996019839294	0.826165082082285	0.416525688178827	0.462806320198697	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
endothelial_proxy	26	52	signature_score ~ group_binary + factor(patient_id)	0.255885171716141	0.185419135461096	1.38003648372004	0.179793065056788	0.359586130113577	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
immune_proxy	26	52	signature_score ~ group_binary + factor(patient_id)	0.212529221293785	0.126940903543269	1.67423750234567	0.106551146343847	0.266377865859617	no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
mineralization_remodeling_proxy	26	52	signature_score ~ group_binary + factor(patient_id)	0.291677965562231	0.118461023068483	2.4622273048715	0.0210494675408849	0.105247337704424	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.
